ZIP,lahunv1share,lahunv10share,lasnap1share,lasnap10share
1908,0.9493670886075949,,0.9776119402985075,0.9776119402985075
1913,0.5933255449319076,,0.6429127053238669,0.6429127053238669
1915,0.08096917682987874,,0.1518469507076587,0.1518469507076587
1921,0.8750171030376515,,0.5840277495120346,0.5840277495120346
1922,1.0339546667053263,,0.90278199953511,0.90278199953511
1923,0.409034767332176,,0.32669649087350994,0.32669649087350994
1929,0.9698782848959656,,0.9834171054026359,0.9834171054026359
1930,0.5446322727973719,,0.6444368748800453,0.6444368748800453
1931,,,,
1936,0.3448275862068966,,0.8690476190476191,0.8690476190476191
1938,0.6736346647756725,,0.6750800567204649,0.6750800567204649
1940,0.38170011453800606,,0.6057081675581448,0.6057081675581448
1944,0.2624690230855307,,0.28525115620624425,0.28525115620624425
1945,0.12454498194136736,,0.24343021353221622,0.24343021353221622
1949,0.08928571428571429,,0.09278350515463916,0.09278350515463916
1950,0.032338756014184476,,0.08921204553894753,0.08921204553894753
1951,0.34835609026385306,,0.8996869310917758,0.8996869310917758
1952,0.6875,,0.7014925373134329,0.7014925373134329
1960,0.3640127025086199,,0.3406165872645009,0.3406165872645009
1966,0.2471050220650553,,0.36730450072770704,0.36730450072770704
1969,0.681159420289855,,0.6918298161368266,0.6918298161368266
1970,0.007972766260653375,,0.03531231207205089,0.03531231207205089
1971,0.0,,0.008695652173913044,0.008695652173913044
1982,0.22156857128464533,,0.6722501611409738,0.6722501611409738
1983,1.046153846153846,,0.9579091827943792,0.9579091827943792
1984,0.37680018256873493,,0.57203392449142,0.57203392449142
1985,0.9642857142857143,,NaN,NaN
2021,0.43762201361964503,,0.530358399648864,0.530358399648864
2025,0.8805970149253731,,0.926605504587156,0.926605504587156
2026,0.20244720034967634,,0.19384198288330737,0.19384198288330737
2027,0.41558441558441556,,0.26666666666666666,0.26666666666666666
2030,0.6899768536338488,,0.434320934554407,0.434320934554407
2032,0.002209175220692776,,0.0005128326997301455,0.0005128326997301455
2035,0.36937610521932945,,0.5340456203333374,0.5340456203333374
2038,0.7549846787858067,,0.6205782721575763,0.6205782721575763
2041,0.48863636363636365,,0.5961538461538461,0.5961538461538461
2043,0.3658008831045629,,0.3366466512702079,0.3366466512702079
2045,0.5112781954887218,,0.5847953216374269,0.5847953216374269
2048,0.46651792291442595,,0.8577653933970198,0.8577653933970198
2050,0.15597017656734555,,0.45181999947231766,0.45181999947231766
2051,0.20512820512820512,,0.47692307692307695,0.47692307692307695
2052,0.32025748973359397,,0.40273583258015433,0.40273583258015433
2053,0.5696629015558176,,0.5639193690457139,0.5639193690457139
2054,0.5625,,0.5609756097560976,0.5609756097560976
2056,0.8899865804011854,,0.9375881921377748,0.9375881921377748
2061,0.299120408077685,,0.3876267103354825,0.3876267103354825
2062,0.04605642804460757,,0.026956496532191926,0.026956496532191926
2066,0.8806617183797629,,0.9266055045871558,0.9266055045871558
2067,0.8010104539050604,,0.7788237346373569,0.7788237346373569
2072,0.21939659117459903,,0.2397212932544542,0.2397212932544542
2081,0.39360740596281485,,0.3226478172683857,0.3226478172683857
2090,0.8062169461760241,,0.7409920755483499,0.7409920755483499
2093,0.8429354621798933,,0.8541984478286546,0.8541984478286546
2108,,,,
2109,,,,
2110,,,,
2111,,,,
2113,,,,
2114,,,,
2115,,,,
2116,,,,
2117,,,,
2118,,,,
2119,,,,
2120,,,,
2121,,,,
2122,,,,
2123,,,,
2124,0.9255319148936171,,0.9545454545454546,0.9545454545454546
2125,,,,
2126,,,,
2127,NaN,,NaN,NaN
2128,0.10807042100965664,,0.13627056688521338,0.13627056688521338
2129,,,,
2130,0.0186590210686045,,0.0022313957380341405,0.0022313957380341405
2131,,,,
2132,0.0010257139977351286,,0.014776151272865313,0.014776151272865313
2134,,,,
2135,0.004453736666885671,,0.0095966819528412,0.0095966819528412
2136,0.002444620443351527,,0.020893608178285655,0.020893608178285655
2137,,,,
2138,,,,
2139,,,,
2140,,,,
2141,,,,
2142,,,,
2143,,,,
2144,,,,
2145,,,,
2148,0.16170882663517616,,0.15252027586362993,0.15252027586362993
2149,,,,
2150,,,,
2151,0.1531962063768511,,0.12045850911464677,0.12045850911464677
2152,0.09690444145356662,,0.14202898550724638,0.14202898550724638
2155,0.12364564569182057,,0.18680274344244915,0.18680274344244915
2169,0.07582350887155394,,0.06792385915895818,0.06792385915895818
2170,0.0,,0.0,0.0
2171,0.013005058308813886,,0.009064528172823575,0.009064528172823575
2176,0.0027336136091691884,,0.01765042425379515,0.01765042425379515
2180,0.0575819306708769,,0.10351264338537666,0.10351264338537666
2184,0.32478356847965745,,0.35810461609673705,0.35810461609673705
2185,0.12857142857142856,,0.36082474226804123,0.36082474226804123
2186,0.4007166928261755,,0.2333985248611428,0.2333985248611428
2188,0.6180846904143654,,0.6126542971481579,0.6126542971481579
2189,0.519999111422182,,0.47462372669773917,0.47462372669773917
2190,0.06427124019852573,,0.32885759736051373,0.32885759736051373
2191,0.43434169015825874,,0.5933684386294197,0.5933684386294197
2199,,,,
2210,NaN,,NaN,NaN
2215,,,,
2238,,,,
2301,0.024267869577558554,,0.1076639220781886,0.1076639220781886
2302,0.05866879777550373,,0.09826083801954193,0.09826083801954193
2303,,,,
2305,,,,
2322,0.07569909094347814,,0.16680786552161306,0.16680786552161306
2324,0.2829482941976213,,0.6794648607705852,0.6794648607705852
2327,0.55,,0.65,0.65
2330,0.9717830697404768,,0.9020628828077659,0.9020628828077659
2331,0.9375,,0.9487179487179487,0.9487179487179487
2332,0.7810513635160481,,0.7849929162407748,0.7849929162407748
2333,0.43841410475039644,,0.6363256920014481,0.6363256920014481
2334,0.4,,0.40384615384615385,0.40384615384615385
2338,0.3751300537848612,,0.68118725840348,0.68118725840348
2339,0.41144931353755587,,0.5781353664304655,0.5781353664304655
2341,0.75104403727457,,0.6330026583368978,0.6330026583368978
2343,1.0745666093387918,,0.8928687402052832,0.8928687402052832
2345,0.24561403508771928,,0.5223880597014926,0.5223880597014926
2346,0.7906203155659949,,0.7905395420226055,0.7905395420226055
2347,0.729283230736299,,0.8442361984233857,0.8442361984233857
2350,0.7777777777777777,,0.8043478260869565,0.8043478260869565
2351,0.31539573916002106,,0.1982418408086369,0.1982418408086369
2356,0.851520157302127,,0.7261563948908987,0.7261563948908987
2359,0.4567375240391673,,0.6175391765038447,0.6175391765038447
2360,0.3569822461752608,,0.4274942296872582,0.4274942296872582
2361,0.0,,0.0,0.0
2362,0.7096774193548387,,0.7413793103448276,0.7413793103448276
2364,0.6556324856553125,,0.7211123974072801,0.7211123974072801
2367,0.9993582959647814,,0.9511863393620769,0.9511863393620769
2368,0.15510304450874007,,0.23567972651128632,0.23567972651128632
2370,0.695765869535854,,0.7479332400091784,0.7479332400091784
2375,0.8745135737815843,,0.7866956737166897,0.7866956737166897
2379,0.33522192606555623,,0.19307230737092324,0.19307230737092324
2382,0.27968950189177594,,0.2267638082258662,0.2267638082258662
2420,0.22737305485316547,,0.29743837413005314,0.29743837413005314
2421,0.20590310909301315,,0.34457059611838986,0.34457059611838986
2445,0.3700787401574803,,0.1739130434782609,0.1739130434782609
2446,,,,
2447,,,,
2451,0.29311769760546,,0.21344480927887985,0.21344480927887985
2452,0.13576376376582724,,0.139580231403666,0.139580231403666
2453,0.1428173945841667,,0.17233182229677577,0.17233182229677577
2454,,,,
2455,0.4097222222222222,,0.16049382716049382,0.16049382716049382
2458,0.07870280427538143,,0.06083812889099675,0.06083812889099675
2459,0.3699138166038704,,0.3249171324630394,0.3249171324630394
2460,0.06011297651293735,,0.05195442403096549,0.05195442403096549
2461,0.44316731234348583,,0.4040584516567857,0.4040584516567857
2462,0.23689787647116367,,0.3696377307924909,0.3696377307924909
2464,,,,
2465,0.06221350658174018,,0.05010730500270433,0.05010730500270433
2466,0.14510423879635378,,0.1333416446029171,0.1333416446029171
2467,0.18722021147077672,,0.037615319046814734,0.037615319046814734
2468,0.1631954956825403,,0.11424201451874791,0.11424201451874791
2472,0.005096328842262523,,0.009032812292257367,0.009032812292257367
2474,0.033156484772599415,,0.07818550168886909,0.07818550168886909
2476,0.0,,0.010638297872340427,0.010638297872340427
2478,0.10314311825253392,,0.10432025121573994,0.10432025121573994
2481,0.7471825225288391,,0.8672998520511096,0.8672998520511096
2482,0.051404736242264285,,0.18746676694657988,0.18746676694657988
2492,0.16899461339781643,,0.24120679041229903,0.24120679041229903
2493,0.6238323506052562,,0.687732543986743,0.687732543986743
2494,0.0030865548907543475,,0.0,0.0
2532,0.7375580904454171,,0.556806105972609,0.556806105972609
2534,0.8121211498928593,,0.9370429507671522,0.9370429507671522
2535,1.4,0.5,0.7659574468085106,0.7659574468085106
2536,0.598950238228909,,0.7074742767916109,0.7074742767916109
2537,0.8196973722939117,,0.8975070895233517,0.8975070895233517
2538,0.5897302600093355,,0.6051954036883622,0.6051954036883622
2539,0.6095930069503553,0.5,0.6665150334574658,0.6665150334574658
2540,0.27304162188793374,,0.8195989703894385,0.8195989703894385
2541,0.18666666666666668,,0.7205882352941176,0.7205882352941176
2542,NaN,,NaN,NaN
2543,0.18666666666666668,,0.7205882352941178,0.7205882352941178
2554,0.31645569620253167,0.0,0.43478260869565216,0.43478260869565216
2556,1.2500000000000002,,0.8750000000000001,0.8750000000000001
2557,0.9523809523809524,,0.5333333333333333,0.5333333333333333
2558,0.9736687946136175,,0.27635120193503815,0.27635120193503815
